Significant Go Accession: GO:0042575  Value: 0.000001
Significant Go Accession: GO:0016281  Value: 0.000000
Significant Go Accession: GO:0008061  Value: 0.000113
Significant Go Accession: GO:0007500  Value: 0.000000
Significant Go Accession: GO:0005345  Value: 0.000000
Significant Go Accession: GO:0005251  Value: 0.000000
Significant Go Accession: GO:0050897  Value: 0.000007
Significant Go Accession: GO:0050435  Value: 0.000003
Significant Go Accession: GO:0008519  Value: 0.010917
Significant Go Accession: GO:0044275  Value: 0.009957
Significant Go Accession: GO:0016749  Value: 0.000058
Significant Go Accession: GO:0008503  Value: 0.000000
Significant Go Accession: GO:0008160  Value: 0.000820
Significant Go Accession: GO:0016078  Value: 0.000091
Significant Go Accession: GO:0017060  Value: 0.000000
Significant Go Accession: GO:0018445  Value: 0.000000
Significant Go Accession: GO:0042572  Value: 0.009039
Significant Go Accession: GO:0030935  Value: 0.000000
Significant Go Accession: GO:0003876  Value: 0.000151
Significant Go Accession: GO:0015936  Value: 0.000151
Significant Go Accession: GO:0017034  Value: 0.000000
Significant Go Accession: GO:0004882  Value: 0.000000
Significant Go Accession: GO:0016081  Value: 0.000039
Significant Go Accession: GO:0003886  Value: 0.000048
Significant Go Accession: GO:0004771  Value: 0.000009
Significant Go Accession: GO:0045075  Value: 0.000096
Significant Go Accession: GO:0030121  Value: 0.000000
Significant Go Accession: GO:0046470  Value: 0.000151
Significant Go Accession: GO:0019798  Value: 0.000000
Significant Go Accession: GO:0001758  Value: 0.000009
Significant Go Accession: GO:0051240  Value: 0.010917
Significant Go Accession: GO:0008426  Value: 0.000005
Significant Go Accession: GO:0046920  Value: 0.000000
Significant Go Accession: GO:0043190  Value: 0.000000
Significant Go Accession: GO:0006656  Value: 0.000113
Significant Go Accession: GO:0016744  Value: 0.000000
Significant Go Accession: GO:0007456  Value: 0.000000
Significant Go Accession: GO:0047298  Value: 0.000820
Significant Go Accession: GO:0003688  Value: 0.000000
Significant Go Accession: GO:0004824  Value: 0.000000
Significant Go Accession: GO:0015270  Value: 0.000000
Significant Go Accession: GO:0016316  Value: 0.002275
Significant Go Accession: GO:0009167  Value: 0.000000
Significant Go Accession: GO:0006710  Value: 0.000091
Significant Go Accession: GO:0006271  Value: 0.000000
Significant Go Accession: GO:0019733  Value: 0.000008
Significant Go Accession: GO:0004357  Value: 0.000016
Significant Go Accession: GO:0009161  Value: 0.000000
Significant Go Accession: GO:0042441  Value: 0.000000
Significant Go Accession: GO:0004731  Value: 0.003839
Significant Go Accession: GO:0050046  Value: 0.000365
Significant Go Accession: GO:0004095  Value: 0.000151
Significant Go Accession: GO:0009448  Value: 0.005804
Significant Go Accession: GO:0042354  Value: 0.000000
Significant Go Accession: GO:0030368  Value: 0.000091
Significant Go Accession: GO:0042982  Value: 0.000000
Significant Go Accession: GO:0015386  Value: 0.000091
Significant Go Accession: GO:0008489  Value: 0.002275
Significant Go Accession: GO:0017022  Value: 0.000000
Significant Go Accession: GO:0005666  Value: 0.000000
Significant Go Accession: GO:0005159  Value: 0.000000
Significant Go Accession: GO:0007589  Value: 0.000000
Significant Go Accession: GO:0006772  Value: 0.003273
